,count,mean,std,min,25%,50%,75%,max,median
mean_abs_ch0,984.0,0.7790992492375511,0.024448143106322075,0.6343839334308502,0.7747430902533297,0.7905022538960547,0.793233504193662,0.9221036734011944,0.7905022538960547
mean_abs_ch1,984.0,0.8019691623767379,0.00654747955653305,0.7324088974070974,0.800295779078211,0.8018747400041979,0.8033924053626624,0.9256280773084872,0.8018747400041979
mean_abs_ch2,984.0,0.7874469682410843,0.009353494431222204,0.77337208873083,0.7829981038413054,0.7856135914112061,0.7888877143850932,0.9164144014883988,0.7856135914112061
mean_abs_ch3,984.0,0.794463102892219,0.0056919451341303825,0.6868040025568174,0.793394842751751,0.7950370693503057,0.7965290690848639,0.8145355294759501,0.7950370693503057
rms_ch0,984.0,1.0,1.9803938548370173e-15,0.9999999999999942,0.9999999999999988,1.0,1.000000000000001,1.0000000000000056,1.0
rms_ch1,984.0,0.9999999999999999,1.8026263942789947e-15,0.9999999999999944,0.9999999999999986,0.9999999999999998,1.000000000000001,1.000000000000005,0.9999999999999998
rms_ch2,984.0,1.0,1.9068114827910546e-15,0.9999999999999948,0.9999999999999988,1.0,1.000000000000001,1.000000000000006,1.0
rms_ch3,984.0,1.0,1.926614087709851e-15,0.999999999999994,0.9999999999999986,1.0,1.000000000000001,1.0000000000000069,1.0
kurtosis_ch0,984.0,0.5853780752701738,0.7789242410518354,-1.5041877144261917,0.22051403516800294,0.3008853414869521,0.5945337478170886,10.504327274769022,0.3008853414869521
kurtosis_ch1,984.0,-0.06116316461840052,0.13447293190926582,-1.603256195247299,-0.0992821734630957,-0.06518389546486736,-0.027921064777530973,2.4562842579174298,-0.06518389546486736
kurtosis_ch2,984.0,0.5267306373025455,0.3425352789791273,-1.5806121374643094,0.39879256560558546,0.5484645932098624,0.7153277244475176,1.7523972509411534,0.5484645932098624
kurtosis_ch3,984.0,0.1154229071816459,0.12026497568005637,-0.3784128513416305,0.05919298814041035,0.10374420948245294,0.14821171162531374,1.520449090224477,0.10374420948245294
shape_ch0,984.0,1.2848763921963158,0.04292644627157791,1.0844767555382162,1.260662837752601,1.2650185310476394,1.2907504623885648,1.5763324814861548,1.2650185310476394
shape_ch1,984.0,1.2470088807747302,0.00961571152044702,1.0803475224171792,1.244721749170174,1.2470775673717522,1.2495380159980463,1.3653575257485788,1.2470775673717522
shape_ch2,984.0,1.2700957321221968,0.014260498622316927,1.0912093899614022,1.2676075210680608,1.2728904018149083,1.2771423010029315,1.293038647982611,1.2728904018149083
shape_ch3,984.0,1.2587810468332008,0.009708268600017377,1.22769353062275,1.2554469621104318,1.2578029862474185,1.2604064792450504,1.4560194702960727,1.2578029862474185
impulse_ch0,984.0,6.254455070853883,0.7118276611035949,3.49598465284323,5.804469459136955,6.178472621733219,6.592129588954704,11.912617817192926,6.178472621733219
impulse_ch1,984.0,5.321198696279242,0.5053358778401016,2.8542783089693287,4.999151324479915,5.26871422156046,5.562552262186728,10.20416688513594,5.26871422156046
impulse_ch2,984.0,7.462977514181688,1.4363430372497707,2.49520576811118,6.555102396954677,7.314461368017561,8.348459611437299,13.689935888113313,7.314461368017561
impulse_ch3,984.0,5.646779266883509,0.573505696272279,4.355276478260363,5.2858041088761905,5.556255601503848,5.916030637170754,9.677944814907326,5.556255601503848
crest_ch0,984.0,4.864440847160705,0.4836634146927933,3.223660290540948,4.558773490132134,4.802823667969886,5.120641818102987,7.641211797099842,4.802823667969886
crest_ch1,984.0,4.266296921100394,0.39613432999776055,2.642000143234596,4.009530742845699,4.221557358710875,4.452508997963135,8.155527030490093,4.221557358710875
crest_ch2,984.0,5.868589878333634,1.0969036863390655,2.286642500574009,5.169045806981451,5.7658762984353995,6.544651476268826,10.626018634423682,5.7658762984353995
crest_ch3,984.0,4.485743912975406,0.4524910104837807,3.4861323700365183,4.20008398565927,4.409619733529359,4.692810808906568,7.688513557074269,4.409619733529359
entropy_ch0,984.0,5.386629920566505,0.10556523366897005,4.194304337928081,5.340645858608315,5.393038410675674,5.447430588944359,5.701055253825817,5.393038410675674
entropy_ch1,984.0,5.535262333034865,0.0811513778516854,4.387418655318302,5.4987847837893815,5.540828537126883,5.5799991776871005,5.789533229030816,5.540828537126883
entropy_ch2,984.0,5.246384011435023,0.1624563714914384,4.245700792889236,5.146156748063514,5.246806747977892,5.3363566161781995,5.800324591267097,5.246806747977892
entropy_ch3,984.0,5.474069572353445,0.08835156088056298,4.373811968294422,5.435760024493446,5.480841282201092,5.527684237530057,5.690150602274641,5.480841282201092
